Subject,5 intensity,15 intensity,25 intensity,75 intensity
1,-0.205328894,-0.488776411,-0.439080111,0
2,0.665198822,0.708717106,0.401747413,0
3,1.01874797,0.57517469,0.68840493,2.22E-16
4,1.549423508,0.941682918,0.623043554,0.035145484
5,1.01874797,1.01874797,0.617000557,0.035145484
6,1.15034938,0.819562896,0.703707893,0.912419565
7,0.205328894,0.496564557,0.517253247,2.22E-16
8,0.30972673,0.33439439,0.428712257,0.273075299
9,1.357537926,0.819562896,0.640386721,2.22E-16
10,0.409647963,0.491852587,0.491959395,2.22E-16
11,0.488776411,0.318639364,0.415855008,2.22E-16
12,0.602892961,0.864383896,0.199185074,0
13,0.342037201,0.295419008,0.173537783,0.035145484
14,0.379070742,-0.415900217,-0.199185074,-0.035145484
15,1.549423508,1.32244608,1.119608111,0
16,1.15034938,0.60774059,0.09285667,2.22E-16
17,0.488776411,0.448501139,0.415855008,2.22E-16
18,0,0.08066434,0.602892961,2.22E-16
19,0.083651734,-0.258589533,0.415855008,0.035145484
20,-0.090006185,0,-0.660458814,0.342037201
21,-0.496564557,-0.323043548,-1.187870889,-0.177925193
22,0.294018992,0.258589533,0.022762663,2.22E-16
23,0.08066434,0,0,2.22E-16
24,-0.397891728,0.269636995,-0.324800278,-0.067610761
25,0.379070742,0.37446558,-0.154364073,2.22E-16
26,0.687961485,0.488776411,0.420810617,2.22E-16
27,-0.603863795,-0.602892961,-0.496564557,-0.57517469
28,0.377874663,0.859290448,0.036667367,2.22E-16
29,0.078655342,-0.085068524,-0.131601411,2.22E-16